,total,benign,malware,b-m
pussubmovxormovmovcaladdpopret,5534,0.6823,0.0013,0.681
movpuscalmovret,6622,0.7421,0.0635,0.6786
movpussubmovmovmovtesjz_,9674,0.912,0.2362,0.6758
nopmovmovcmpjz_,11380,1.0073,0.3325,0.6748
movcalcmpjge,11654,1.0214,0.349,0.6724
straddsubb__,5423,0.6702,0,0.6702
leamovjmp,80364,4.8774,4.2113,0.6661
ldradraddmovbl_,5385,0.6655,0,0.6655
movcaladdcmpjnz,12050,1.0397,0.3745,0.6652
addmovaddbl_,5399,0.6651,0.0018,0.6633
movmovcalmovjmp,128313,7.5662,6.9084,0.6578
movstrldrcmpb__,5319,0.6568,0.0004,0.6564
strldrldrldrmovblxmovblxldrcbz,5303,0.6553,0,0.6553
clrbr_,5301,0.6551,0,0.6551
stpsubaddbl_,5269,0.6511,0,0.6511
movmovmovcaltesleacmomovcalmov...,5261,0.6501,0,0.6501
ldaldccalret,5978,0.6891,0.0414,0.6477
addpoppoppoppopret,23275,1.6604,1.0132,0.6472
movpuspuscaltesjnz,9042,0.8609,0.2138,0.6471
movmovmovaddpoppoppopret,10511,0.9428,0.2968,0.646
movpoppoppoppopaddret,17220,1.3192,0.674,0.6452
leamovcmpjz_,40968,2.6527,2.0082,0.6445
movcalmovpopret,12556,1.0566,0.4125,0.6441
movmovmovmovmovcaltesjz_,18139,1.3701,0.7262,0.6439
movcmpmovjz_,21316,1.5476,0.9055,0.6421
ldrcmnb__,5188,0.6411,0,0.6411
ldraddstrbl_,5192,0.6411,0.0004,0.6407
movleamovcalmovjmp,7449,0.7674,0.1276,0.6398
movmovmovmovmovtesjz_,38461,2.509,1.8698,0.6392
cmpsetjmp,25069,1.7561,1.1182,0.6379
stradraddldpret,5148,0.6362,0,0.6362
movmovmovmovmovmovmovcmpjnz,13671,1.1148,0.4788,0.636
pusmovmovmovmovpopret,10475,0.9349,0.2997,0.6352
ldaldacasstfret,5224,0.6391,0.0054,0.6337
ldraddlslbl_,5126,0.6335,0,0.6335
movmovmovtesjnz,66649,4.0891,3.4559,0.6332
sw_b__,5127,0.6333,0.0002,0.6331
pussubmovmovmovmovtesjz_,6931,0.7344,0.1017,0.6327
ldaldsldacalret,5206,0.637,0.0053,0.6317
movmovmovmovpopret,15517,1.2159,0.5847,0.6312
movmovcalmovmovmovaddpopret,11732,1.003,0.3724,0.6306
ldrldrldrldrmovblxmovaddblxmov...,5102,0.6305,0,0.6305
ldrldpldpldpret,5097,0.6299,0,0.6299
movmovcalmovcmpjz_,32813,2.1865,1.557,0.6295
leacaltesjs_,6297,0.6962,0.0683,0.6279
movleamovcmpjnz,14936,1.1809,0.554,0.6269
puspuscaladdtesjnz,37920,2.4707,1.8461,0.6246
calmovmovmovtesjz_,9168,0.8552,0.2315,0.6237
vcmvmrb__,5044,0.6233,0,0.6233
ldrmovldrbl_,5137,0.6262,0.0072,0.619
movcaltesjs_,9306,0.8601,0.2416,0.6185
ldacalldsldacalret,5005,0.6184,0.0001,0.6183
movandmovret,9872,0.8909,0.2742,0.6167
movmovcalpopret,49700,3.1277,2.5117,0.616
pusleacaltesjnz,10873,0.9449,0.3323,0.6126
movcalmovpoppopret,11571,0.9839,0.3716,0.6123
movmovmovleapusmovmovmovpuscal...,15191,1.1869,0.5753,0.6116
ldrmovstrbl_,4945,0.6107,0.0003,0.6104
movldpldrldpret,4938,0.6102,0,0.6102
pusmovmovmovpopret,17896,1.338,0.7279,0.6101
movmovmovaddret,9131,0.8455,0.2357,0.6098
puspuspustesjz_,33506,2.2147,1.6049,0.6098
strldrcmpb__,4984,0.6122,0.0031,0.6091
movleamovmovcalmovjmp,6249,0.6831,0.0742,0.6089
ldaldscalcasret,4956,0.6104,0.0018,0.6086
movldrmovb__,4931,0.6087,0.0005,0.6082
stlcbn,4920,0.608,0,0.608
nopcbz,4917,0.6076,0,0.6076
pusleacaltesjz_,11942,1.0019,0.3949,0.607
movpuspuspuspuscalmovleapuspus...,5280,0.6274,0.0209,0.6065
strstradrstraddstrldrcbn,4902,0.6058,0,0.6058
ldrldrblxcmpb__,4897,0.6052,0,0.6052
movcaltesmovjz_,7694,0.7621,0.1572,0.6049
movpuspuscaladdmovtesjz_,6150,0.6741,0.0716,0.6025
leapuspuscalleamovjmp,5340,0.6283,0.0264,0.6019
addpoppoppopret,11507,0.974,0.3733,0.6007
movmovcalxorjmp,13226,1.0703,0.4701,0.6002
movpussubmovmovleaaddpopret,4856,0.5992,0.0007,0.5985
submovmovmovmovcaladdret,6117,0.67,0.0716,0.5984
adraddmovmovbl_,4835,0.5975,0,0.5975
movaddb__,4848,0.598,0.0009,0.5971
ldraddstrb__,4831,0.5968,0.0002,0.5966
movcalmovmovmovtesjz_,13256,1.0698,0.4736,0.5962
addmovmovmovbl_,4835,0.5963,0.001,0.5953
pusmovaddmovmovmovmovcmpjz_,5988,0.6608,0.066,0.5948
movldrb__,4838,0.5959,0.0016,0.5943
movsubbl_,4783,0.5911,0,0.5911
movmovmovcalmovcmpjnz,9230,0.84,0.2505,0.5895
leamovmovmovcaljmp,13087,1.0561,0.4676,0.5885
xorpoppoppoppopaddret,6717,0.698,0.1101,0.5879
pussubmovmovmovmovmovmovmovmov...,4796,0.5891,0.003,0.5861
dmbaddldraddstrcmpb__,4734,0.585,0,0.585
movcmpit_movb__,4730,0.5845,0,0.5845
ldrldrldrmovblxmovblxcmpb__,4720,0.5833,0,0.5833
leamovcalmovtesjs_,5476,0.6256,0.0426,0.583
movstrmovbl_,4755,0.585,0.0022,0.5828
stpldraddbl_,4716,0.5828,0,0.5828
beq,5142,0.6065,0.0241,0.5824
movmovlearet,10924,0.9309,0.3492,0.5817
calmovtesjs_,5015,0.5979,0.0182,0.5797
strstrb__,4699,0.5801,0.0005,0.5796
movpuspusleapuspuspuscaltesjz_,4888,0.5905,0.0113,0.5792
movpoppusaddbl_,4676,0.5779,0,0.5779
movpuspuscaladdtesjnz,10430,0.9008,0.3234,0.5774
submovmovmovcaladdret,4929,0.59,0.016,0.574
ldaldscalret,4866,0.5863,0.0126,0.5737
nopcmpjnz,13326,1.0612,0.488,0.5732
ldaldsldaboxcalret,4647,0.5723,0.0016,0.5707
pusmovpopret,14838,1.1443,0.5744,0.5699
ldrldrstrcbz,4609,0.5696,0,0.5696
xormovmovcaljmp,12619,1.0187,0.4506,0.5681
pusmovpusmovpuscaladdpopret,7352,0.7224,0.1551,0.5673
movcalnopjmp,35179,2.2853,1.7183,0.567
movxormovcaljmp,8191,0.7687,0.203,0.5657
movpuspuscaladdmovjmp,6004,0.6458,0.0801,0.5657
movpopb__,4574,0.5652,0,0.5652
calmovmovtesjnz,22141,1.5519,0.9868,0.5651
ldacalconldcbgt,4570,0.5648,0,0.5648
pussubmovmovaddmovcaladdpopret,4571,0.5644,0.0004,0.564
puspuspuspuscalleamovpusmovsub...,4559,0.5634,0,0.5634
movfldfmumovfstpusleapuscaland...,4552,0.5625,0,0.5625
calmovcmpjnz,39719,2.5378,1.9754,0.5624
subbeq,4550,0.5623,0,0.5623
ldrmovaddstrbl_,4545,0.5617,0,0.5617
ldrmovaddmovbl_,4560,0.5624,0.0009,0.5615
puspussubmovcmpjz_,4636,0.5664,0.0055,0.5609
movleacalmovtesjz_,12687,1.0182,0.458,0.5602
movaddtesjnz,19439,1.3969,0.8377,0.5592
movldrldrcbz,4523,0.5589,0,0.5589
movmovmovmovmovmovcmpjnz,19873,1.4208,0.8625,0.5583
puspussubmovmovmovmovcmpjz_,4523,0.5585,0.0004,0.5581
movmovaddmovjmp,12252,0.9925,0.4347,0.5578
ldrldrldrmovblxmovblxcbz,4504,0.5566,0,0.5566
movleamovcalmovtesjs_,5265,0.5989,0.0431,0.5558
li_bne,4552,0.5576,0.0041,0.5535
leapuspuscalmovmovleapuspusmov...,4480,0.5533,0.0003,0.553
subcmpjnbjmp,4959,0.5798,0.0275,0.5523
ldrldrmovcmpb__,4462,0.5514,0,0.5514
movaddpoppoppoppopret,8583,0.7824,0.2319,0.5505
movandmovtesjz_,12936,1.0269,0.4764,0.5505
movmovleacaljmp,11556,0.9493,0.3989,0.5504
cmpsetret,20288,1.4398,0.8894,0.5504
or_movlocaddjnz,4453,0.5503,0,0.5503
movmovleamovcaljmp,6644,0.6729,0.1235,0.5494
addaddb__,4450,0.5492,0.0006,0.5486
strldrstrldrldrcmpb__,4437,0.5483,0,0.5483
movmovmovmovret,46075,2.8867,2.3392,0.5475
addpusmovmovxchret,11308,0.9328,0.3872,0.5456
pusmovmovpuscalpoppopret,4765,0.5652,0.0197,0.5455
pusaddbl_,4408,0.5447,0,0.5447
dmbb__,4404,0.5442,0,0.5442
movleamovmovcalmovtesjs_,5208,0.5889,0.0456,0.5433
movpoppoppoppoppoppopret,24626,1.6796,1.1363,0.5433
addpopjmp,9455,0.8271,0.2844,0.5427
movmovmovcaltesjs_,4661,0.5562,0.0165,0.5397
nopldrcmpb__,4360,0.5388,0,0.5388
decmovjnz,8371,0.764,0.2254,0.5386
stpstpstpstpmovbl_,4357,0.5384,0,0.5384
stpstpstpstrmovbl_,4356,0.5383,0,0.5383
pussubmovmovmovtesjz_,7979,0.7415,0.2038,0.5377
ldaret,5418,0.5969,0.0605,0.5364
movmovmovmovmovcmpjz_,34819,2.2479,1.7124,0.5355
pussubmovcmpjz_,15197,1.1441,0.6116,0.5325
calintandmovmovlealeamovcalmov...,4307,0.5323,0,0.5323
ldrsubbl_,4304,0.5319,0,0.5319
ldaldacasstfbr_,4299,0.5313,0,0.5313
ldrmovmovstrbl_,4300,0.5309,0.0004,0.5305
ldrmovstrb__,4290,0.5295,0.0005,0.529
locmovtesjz_,4279,0.5287,0.0001,0.5286
movleamovxorcaladdmovxorcalmov...,17509,1.2711,0.7438,0.5273
movmovcalmovtesjs_,9346,0.8117,0.2861,0.5256
ldrldrstrldrmovb__,4253,0.5256,0,0.5256
xormovmovmovtesjz_,10543,0.8788,0.3534,0.5254
pussubmovmovmovcmpjz_,4341,0.5303,0.0051,0.5252
addmovcmpmovja_,4238,0.5225,0.001,0.5215
sbbsbbtesjnz,10312,0.8636,0.3423,0.5213
movaddmovmovcmpjge,13857,1.0627,0.5414,0.5213
puscmpjz_,59093,3.6036,3.0824,0.5212
movmovmovcalmovtesjs_,5838,0.6121,0.0911,0.521
movmovmovmovmovmovcmpjz_,17950,1.2923,0.7716,0.5207
andmovmovcalmovtesjz_,4307,0.5258,0.0054,0.5204
leamovmovcmpjnz,14314,1.0877,0.5676,0.5201
movpussubmovmovmovmovleaaddpop...,4196,0.5185,0,0.5185
movmovleacmpjz_,17557,1.2688,0.7507,0.5181
pusmovmovcalmovcalpopret,8779,0.7755,0.2579,0.5176
ldrorrb__,4190,0.5177,0.0001,0.5176
lw_lw_beq,4193,0.5175,0.0005,0.517
incmovmovcmpjb_,18383,1.3145,0.7977,0.5168
movleajmp,65700,3.9721,3.4557,0.5164
ldlldcaddstlldlldlblt,4662,0.5433,0.0274,0.5159
movmovmovcmpja_,10803,0.8882,0.3724,0.5158
movmovcalmovtesjnz,36834,2.3501,1.8347,0.5154
movmovcaladdpopret,5682,0.5994,0.0857,0.5137
ldacalldcbne,4696,0.544,0.0303,0.5137
movmovmovmovmovcalleapoppopret,4147,0.5125,0,0.5125
movmovmovcalmovcalmovtesjz_,7890,0.7226,0.2104,0.5122
inccmpjge,14945,1.1176,0.6077,0.5099
addstrb__,4121,0.5093,0,0.5093
pusmovpusmovmovcmpjz_,12456,0.9774,0.4682,0.5092
tesjbe,29985,1.9617,1.4531,0.5086
pussubleamovcaladdpopret,4103,0.507,0,0.507
popbl_,4101,0.5068,0,0.5068
puspuspuspuscalmovpuspusmovmov...,4133,0.5085,0.0019,0.5066
straddbl_,4108,0.5069,0.0006,0.5063
calmovmovcmpjnz,8971,0.7799,0.2739,0.506
strmovbl_,4137,0.5077,0.003,0.5047
movpoppopmovpopret,36474,2.324,1.8194,0.5046
movdecsettesjz_,4080,0.5038,0.0003,0.5035
movldpret,4064,0.5022,0,0.5022
ldrldrldrmovblrmovblrldrcbz,4062,0.502,0,0.502
movcmpjnbmovjmp,7112,0.6729,0.1717,0.5012
dmbldrldraddstrcmpb__,4048,0.5002,0,0.5002
ldrandcmpb__,4034,0.4984,0.0001,0.4983
ldlbeq,4035,0.4984,0.0002,0.4982
ldrmovmovaddbl_,4047,0.4978,0.002,0.4958
pusmovpuscaladdret,18938,1.3342,0.8384,0.4958
fldfcofnssahjz_,4126,0.4998,0.0084,0.4914
luib__,3966,0.4901,0,0.4901
movmovmovcalpopret,41540,2.6005,2.1107,0.4898
movmovmovcalor_xadcmpjnz,4120,0.4985,0.0089,0.4896
movcalmovmovmovmovtesjz_,8401,0.7388,0.2495,0.4893
addldaaddstlcbn,3958,0.4891,0,0.4891
movmovmovmovmovmovmovmovmovmov...,6118,0.6102,0.1215,0.4887
leacmpjz_,108252,6.347,5.8585,0.4885
xorcalret,23865,1.6066,1.1187,0.4879
ldaldcstfret,4416,0.5142,0.0263,0.4879
ldrldpldpret,3945,0.4875,0,0.4875
leamovcmpjnz,25429,1.6943,1.2068,0.4875
ldrmovstrcmpb__,3943,0.4865,0.0006,0.4859
movpuscaladdmovmovor_xadjnz,4631,0.5248,0.0395,0.4853
calnoptesjz_,4238,0.5022,0.0179,0.4843
movaddmovxorcalleacalnopmovcmp...,3909,0.4831,0,0.4831
calpoppopret,15434,1.1303,0.6475,0.4828
puspusmovmovmovmovmovcalpoppop...,6659,0.6372,0.1548,0.4824
movstraddbl_,3909,0.4816,0.0012,0.4804
movmovcalxorpoppoppopmovjmp,6889,0.6489,0.1687,0.4802
movldpldrldpldpret,3885,0.4801,0,0.4801
movcalmovmovmovmovaddpopret,6460,0.6246,0.1448,0.4798
subpuscaladdmovjmp,3878,0.4791,0.0001,0.479
puspuspuspuscalmovtesjnz,6077,0.6024,0.1238,0.4786
movleapopret,4464,0.5116,0.0334,0.4782
ldaldfldcbne,4414,0.5088,0.0306,0.4782
leamovmovtesjz_,13558,1.0224,0.5442,0.4782
movxorcalmovjmp,5545,0.5718,0.0945,0.4773
movleamovmovcalmovtesjz_,6071,0.6013,0.1241,0.4772
movpussubmovmovmovmovleamovxor...,3857,0.4766,0,0.4766
movleamovmovmovcaljmp,4515,0.5133,0.0372,0.4761
puspuspuspuspuscaladdmovret,3929,0.4804,0.0043,0.4761
movcmpja_,149809,8.6739,8.1989,0.475
ldaldcbeq,4448,0.5085,0.0343,0.4742
movmovleamovcalnopmovjmp,3841,0.4743,0.0003,0.474
dmbcbz,3834,0.4738,0,0.4738
strldrldrcmpb__,3834,0.4737,0.0001,0.4736
movcalnopmovjmp,4138,0.4904,0.0175,0.4729
pussubmovmovmovmovmovtesjz_,4050,0.4854,0.0126,0.4728
movdecsettesjnz,3825,0.4727,0,0.4727
puscalpopmovtesjz_,43007,2.6734,2.201,0.4724
movstrstrb__,3815,0.4708,0.0005,0.4703
movmovmovmovcalcmpjnz,12599,0.964,0.4941,0.4699
subjb_,23529,1.5779,1.1081,0.4698
puscaladdmovmovcmpjz_,9038,0.7638,0.2942,0.4696
ldrldrldrbl_,3872,0.4734,0.0042,0.4692
cmpsettesjz_,9070,0.7648,0.2967,0.4681
puspusmovmovmovcaltesjz_,10001,0.817,0.3491,0.4679
sublealeacalleaaddjmp,3822,0.4698,0.0021,0.4677
movmovcaladdpoppopret,6825,0.638,0.1711,0.4669
ldrldrstrldrmovstrbl_,3775,0.4665,0,0.4665
locjnz,3772,0.4661,0,0.4661
movmovmovcalpoppoppopret,10299,0.8322,0.3671,0.4651
strldrldrldrmovldrblxmovblxmov...,3758,0.4644,0,0.4644
ldrmovldrcbz,3757,0.4643,0,0.4643
pussubmovmovaddcaladdpopret,13802,1.0285,0.5642,0.4643
leacalmovmovtesjz_,8695,0.7412,0.2777,0.4635
movaddcmpja_,20089,1.3809,0.918,0.4629
movmovmovcalmovmovjmp,13944,1.0351,0.5734,0.4617
pusmovmovmovcalpopret,30219,1.9491,1.4877,0.4614
movmovmovcaladdpopret,3930,0.4718,0.0115,0.4603
dmbmovb__,3723,0.4601,0,0.4601
pussubmovxormovcaladdpopret,3710,0.4585,0,0.4585
ldrstrmovb__,3707,0.4581,0,0.4581
movmovcalmovnopmovxorcalmovmov...,3707,0.4581,0,0.4581
pusmovsubpuspuspusleamovmovsto...,3823,0.4643,0.0068,0.4575
movaddmovstrbl_,3703,0.4574,0.0002,0.4572
ldaldfldfret,3731,0.4581,0.0025,0.4556
leamovmovmovmovret,5970,0.5837,0.1284,0.4553
movpussubmovmovleamovcalmovlea...,3680,0.4548,0,0.4548
nopmovtesjz_,7080,0.6456,0.1911,0.4545
addldasubstlcbn,3671,0.4537,0,0.4537
movmovmovstrbl_,3670,0.4535,0,0.4535
movmovmovcalmovmovtesjnz,4619,0.5057,0.0543,0.4514
calxorcmpjb_,3825,0.4606,0.0101,0.4505
movpuspuspuscaladdjmp,5817,0.5722,0.1222,0.45
movlocsettesjz_,3638,0.4496,0,0.4496
tesmovjnz,27741,1.8034,1.3539,0.4495
strldrldrldrmovblrmovblrldrcbz,3636,0.4493,0,0.4493
ldpldrret,3629,0.4485,0,0.4485
xormovcmpjnz,32007,2.0424,1.5941,0.4483
puspussubmovmovcmpjz_,3849,0.4602,0.0129,0.4473
xorcalnopmovtesjz_,3618,0.4467,0.0003,0.4464
movmovmovmovcalmovcmpjz_,10205,0.8166,0.3704,0.4462
ldrmovcbn,3610,0.4461,0,0.4461
ldacalnopret,4338,0.4865,0.0413,0.4452
ldrldpldpldpldpret,3601,0.445,0,0.445
movmovcalxorpoppoppopmovpuslea...,15330,1.1037,0.6589,0.4448
ldrldrldrcbn,3590,0.4436,0,0.4436
movtbzmovb__,3583,0.4428,0,0.4428
andmovmovtesjz_,8521,0.7197,0.2777,0.442
ldrldpret,3568,0.4409,0,0.4409
adraddmovaddbl_,3566,0.4407,0,0.4407
cmpjnbmovjmp,26972,1.7546,1.3154,0.4392
movmovmovmovmovmovcaljmp,15750,1.1238,0.6854,0.4384
addmovjnz,4876,0.5129,0.0748,0.4381
ldrsubasrlslbl_,3542,0.4377,0,0.4377
adraddret,3540,0.4375,0,0.4375
movcalmovmovcalmovtesjz_,5418,0.5424,0.106,0.4364
vldvcmvmrb__,3527,0.4359,0,0.4359
pusmovaddtesjz_,4706,0.5019,0.0664,0.4355
xortesjs_,7139,0.6382,0.2034,0.4348
pussubmovtesjnz,7947,0.6835,0.2488,0.4347
xorjz_,11077,0.8591,0.4248,0.4343
nopldaldastfret,3892,0.4554,0.0213,0.4341
or_puscalpoptesjnz,3703,0.4443,0.0111,0.4332
movmovmovmovmovcalmovjmp,7337,0.6477,0.2158,0.4319
movsubsarcmpjb_,5142,0.5239,0.093,0.4309
ldrsubstrb__,3506,0.4319,0.0011,0.4308
movpuscalmovmovmovcmpjg_,3493,0.4312,0.0004,0.4308
movsubmovjmp,17620,1.2247,0.7939,0.4308
leamovmovmovmovmovmovmovmovcal...,3473,0.4292,0,0.4292
submovbl_,3474,0.4292,0.0001,0.4291
addret,49034,2.9883,2.5593,0.429
movpussubxormovcmpjnz,3700,0.4412,0.0134,0.4278
movleamovmovmovcalmovtesjnz,3715,0.4417,0.0145,0.4272
puspusmovcaladdjmp,4944,0.5105,0.0837,0.4268
puspuspuspuspuscaltesjz_,6093,0.5749,0.1484,0.4265
addbr_,3490,0.4284,0.0024,0.426
movsubjb_,17720,1.2276,0.8018,0.4258
submovjnz,8496,0.7092,0.2839,0.4253
calnopcalnopjmp,3445,0.4255,0.0002,0.4253
cmpjnbmovmovmovincmovjmp,6245,0.5827,0.1576,0.4251
movcalmovmovmovmovcmpjb_,4288,0.4724,0.0479,0.4245
movleacalmovjmp,13658,0.9986,0.5743,0.4243
ldrldrldrb__,3419,0.4225,0,0.4225
calmovmovmovaddpopret,9379,0.7572,0.3349,0.4223
movmovleacmpjnz,9427,0.7598,0.3377,0.4221
movmovmovmovcalmovtesjs_,3739,0.4402,0.0182,0.422
puspusmovpuspuscalmovmovmovlea...,3578,0.4312,0.0092,0.422
movpuscaladdjmp,12982,0.9592,0.5375,0.4217
movmovcaltesmovjz_,4438,0.4791,0.0578,0.4213
movaddcalret,7137,0.6306,0.2095,0.4211
pusmovaddmovmovmovcmpjz_,4180,0.4645,0.0434,0.4211
ldrldrmovb__,3408,0.4209,0.0002,0.4207
stpstpmovmovmovbl_,3401,0.4203,0,0.4203
movbr_,3392,0.4192,0,0.4192
ldpldrldpret,3389,0.4188,0,0.4188
movaddpoppopret,10130,0.7973,0.3787,0.4186
calxorcmpjnz,4429,0.4771,0.0585,0.4186
movmovcmpsetjmp,4041,0.4553,0.0368,0.4185
andmovmovcalnopmovtesjz_,3371,0.4166,0,0.4166
movmovcmpjle,61055,3.6567,3.2401,0.4166
submovleamovcalnopaddret,3759,0.4382,0.0219,0.4163
movleacalmovincleacaldecleamov...,3366,0.416,0,0.416
popret,195790,11.2244,10.8086,0.4158
cmpmovjle,12109,0.9069,0.4912,0.4157
movmovmovmovsubmovmovmovmovmov...,3602,0.4286,0.0138,0.4148
movmovmovlearet,4242,0.4644,0.0498,0.4146
movpuscalpopmovdecsetandtesjz_,3351,0.4141,0,0.4141
ldraddldrcmpb__,3372,0.415,0.0014,0.4136
movmovmovcalmovcaltesjnz,5565,0.5378,0.1249,0.4129
lealocjz_,3340,0.4128,0,0.4128
movmovleajmp,23001,1.5167,1.1047,0.412
movmovpussubxormovmovmovmovlea...,3330,0.4115,0,0.4115
ldrldrldrmovblxmovblxldrstrcbz,3330,0.4115,0,0.4115
pusldrandcmpb__,3329,0.4114,0,0.4114
ldrldrldrmovbl_,3332,0.4115,0.0002,0.4113
addaddaddbl_,3334,0.4115,0.0004,0.4111
svcstpmovbl_,3325,0.4109,0,0.4109
ldrstrldrcmpb__,3325,0.4107,0.0002,0.4105
movstrldrldrldrmovblxmovblxb__,3320,0.4103,0,0.4103
movmovleacalmovjmp,5867,0.5526,0.1437,0.4089
calpopaddmovpoppoppoppoppopret,13951,1.0062,0.5982,0.408
pusmovaddmovmovcmpjz_,6079,0.564,0.156,0.408
movcalmovmovmovjmp,7171,0.6253,0.2174,0.4079
ldrldrldrmovblrmovblrnopldrcbz,3289,0.4065,0,0.4065
ldrldrmovcbz,3286,0.4061,0,0.4061
lealdacalendret,3293,0.4062,0.0006,0.4056
or_movxadaddjnz,3285,0.4056,0.0003,0.4053
ldrtbzldrandcmpb__,3278,0.4051,0,0.4051
subcalmovaddret,5375,0.5227,0.1179,0.4048
movaddpoppusaddbl_,3261,0.403,0,0.403
movaddmovmovbl_,3306,0.4055,0.0026,0.4029
stpstpstrmovbl_,3259,0.4027,0,0.4027
orrb__,3258,0.4025,0.0001,0.4024
ldrcmpit_movb__,3252,0.4019,0,0.4019
puspuscaladdmovjmp,8515,0.6971,0.296,0.4011
ldrstrldrldrcbz,3245,0.401,0,0.401
ldrldraddcmpb__,3259,0.4018,0.0008,0.401
movmovcalmovcmpjnz,29448,1.8722,1.4724,0.3998
movcalpopret,45276,2.7612,2.3614,0.3998
movmovmovmovpuspuspuspuspuspus...,3233,0.3995,0,0.3995
leapoppoppoppopret,4409,0.4653,0.0663,0.399
movleapusmovmovmovpuscalfncmov...,3726,0.4266,0.0282,0.3984
puscalpoppoppopret,24105,1.5713,1.1729,0.3984
movcaltesjle,13654,0.9837,0.5863,0.3974
ldaldfldlcalcasstlldlldfldnbeq,3215,0.3973,0,0.3973
ldlldfldacascalldcandldcbeq,3215,0.3973,0,0.3973
ldaldfldlcalldaldfldlldfcalldl...,3215,0.3973,0,0.3973
ldaldfstlbr.,10925,0.8295,0.4338,0.3957
decmovcmpjnz,7550,0.6398,0.2444,0.3954
ldacalldaldfbrtldacalnewstlldc...,3195,0.3948,0,0.3948
leadecjnz,4468,0.4663,0.0716,0.3947
movldrtstb__,3194,0.3947,0,0.3947
movmovaddpoppoppoppopret,6710,0.5921,0.1976,0.3945
movlealeamovmovcaltesjs_,4316,0.4574,0.0633,0.3941
intret,3245,0.3972,0.0032,0.394
ldrstrldrmovb__,3185,0.3936,0,0.3936
pusmovpuspuspuspustesjz_,12350,0.9084,0.5148,0.3936
movpusmovpopnopjmp,3183,0.3934,0,0.3934
andor_jmp,11092,0.8375,0.4443,0.3932
leamovmovcmpjb_,8671,0.7012,0.3086,0.3926
xorpoppoppopmovpuscmpjz_,11285,0.8478,0.4557,0.3921
leamovcalmovmovmovcaljmp,10293,0.792,0.4,0.392
cmpjnbor_jmp,3933,0.4341,0.0432,0.3909
addcbz,3155,0.3899,0,0.3899
undpusaddbl_,3153,0.3896,0,0.3896
movdecmovmovsubleapuscaladdmov...,3151,0.3894,0,0.3894
movdecmovmovsubleapuscaladdmov...,3151,0.3894,0,0.3894
calmovcmpjbe,4132,0.4438,0.0557,0.3881
puspussubmovmovleacalleacallea...,3147,0.3884,0.0004,0.388
ldrldrldrmovblrmovblrstrcbz,3132,0.387,0,0.387
stpstpstpstpstrmovbl_,3125,0.3862,0,0.3862
sysret,3118,0.3853,0,0.3853
nopmovbl_,3113,0.3847,0,0.3847
ldrldrldrmovblxmovblxldrcmpb__,3111,0.3845,0,0.3845
leaaddret,3444,0.4031,0.0187,0.3844
movsubleacmpjbe,4166,0.4435,0.0594,0.3841
ldruxtorrcmpb__,3105,0.3837,0,0.3837
nopldaldaldfcalcalstlbr.,3104,0.3836,0,0.3836
movtstb__,3095,0.3825,0,0.3825
movaddmovmovtesjz_,5128,0.4967,0.1142,0.3825
movpussubmovmovleacalmovmovcal...,3091,0.382,0,0.382
ldrldrldrldrmovblxmovmovblxmov...,3090,0.3819,0,0.3819
movmovcalmovmovmovtesjz_,6841,0.5923,0.2109,0.3814
movcalmovcaltesjz_,17289,1.1788,0.7981,0.3807
xorpoppoppoppoppopret,10512,0.7978,0.4177,0.3801
movpusmovpuscaladdret,7705,0.64,0.2601,0.3799
ldrldrmovstrmovmovbl_,3070,0.3794,0,0.3794
xorpoppopret,105779,6.1478,5.7698,0.378
stpstpstpmovbl_,3054,0.3774,0,0.3774
lslbl_,3053,0.3773,0,0.3773
ldrldrldrmovmovbl_,3051,0.377,0,0.377
puspussubmovmovmovmovcaltesjz_,3078,0.3785,0.0015,0.377
movaddcmpjbe,10634,0.8029,0.426,0.3769
dmbldrcmpb__,3047,0.3765,0,0.3765
leacalmovtesjnz,12721,0.9194,0.5438,0.3756
cmpmovjb_,23480,1.5237,1.1482,0.3755
movmovsubmovmovmovjmp,3708,0.4128,0.0379,0.3749
pussubmovmovmovmovcmpjz_,3580,0.4056,0.0307,0.3749
subaddb__,3031,0.3746,0,0.3746
movmovmovmovcalmovcmpjnz,4145,0.437,0.0627,0.3743
movmovcmpmovjz_,9969,0.7641,0.3899,0.3742
adraddstraddbl_,3027,0.3741,0,0.3741
movmovmovmovmovmovmovaddpopret,4346,0.4477,0.0745,0.3732
movnegsbbandmovcaltesjz_,3019,0.3731,0,0.3731
movmovandshlmovtessetjmp,3041,0.3742,0.0013,0.3729
movcalcmpjl_,8997,0.7086,0.336,0.3726
calmovcmpjge,4230,0.4406,0.0685,0.3721
ldaldacalcalret,3684,0.4099,0.0378,0.3721
ldsstlbr.,3343,0.3906,0.0187,0.3719
movstrmovldrstrmovaddmovstrbl_,3008,0.3717,0,0.3717
popb__,3001,0.3709,0,0.3709
movcmpsetjmp,13914,0.9838,0.613,0.3708
xormovcmpjz_,34720,2.1513,1.7827,0.3686
movincmovcmpjz_,10058,0.7656,0.3978,0.3678
ldlldcbne,7283,0.6095,0.2421,0.3674
dmbldrcbz,2968,0.3668,0,0.3668
cmpmovb__,3093,0.3737,0.0071,0.3666
leacalmovtesjs_,4561,0.456,0.0897,0.3663
ldraddaddcmpb__,3005,0.3685,0.0024,0.3661
